Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
AASS	12	2.81e-04	3.63e-02	0.329	0.09	4.51e-11	4.52e-09	2.54e-02	4.61e-01
ABCC5	12	2.58e-02	3.06e-01	0.29	0.13	4.04e-08	2.25e-06	3.17e-04	4.09e-02
ABCG1	12	3.78e-01	7.99e-01	-0.114	0.129	2.94e-05	6.92e-04	3.88e-04	4.70e-02
ABHD6	11	2.28e-01	6.89e-01	0.129	0.107	2.10e-08	1.28e-06	4.13e-04	4.90e-02
ACSL1	13	2.01e-04	3.18e-02	0.547	0.147	1.44e-23	7.29e-21	7.28e-04	6.97e-02
ADD1	12	3.78e-06	1.91e-03	0.159	0.034	2.43e-07	1.12e-05	2.54e-02	4.61e-01
AEBP2	9	8.32e-07	6.43e-04	-0.161	0.033	2.45e-05	5.97e-04	1.20e-01	8.42e-01
AKAP13	12	1.06e-04	2.15e-02	0.454	0.117	6.70e-16	1.49e-13	1.00e-06	5.61e-04
ALCAM	12	1.03e-01	5.25e-01	0.222	0.136	6.41e-07	2.67e-05	3.35e-04	4.26e-02
ALOX15B	12	1.95e-06	1.29e-03	0.786	0.165	2.73e-27	1.99e-24	1.48e-04	2.40e-02
ANAPC16	9	3.37e-05	1.01e-02	0.176	0.042	6.80e-08	3.60e-06	4.39e-03	1.87e-01
APBB2	11	2.60e-01	7.19e-01	0.171	0.152	2.48e-34	3.85e-31	2.95e-04	3.90e-02
APOO	9	9.24e-09	1.95e-05	-0.22	0.038	2.44e-04	3.86e-03	1.64e-01	9.35e-01
AREG	9	5.87e-03	1.64e-01	0.336	0.122	5.81e-09	4.09e-07	1.91e-04	2.92e-02
ARHGAP29	13	6.86e-03	1.75e-01	0.36	0.133	1.63e-09	1.27e-07	2.50e-04	3.53e-02
ARHGAP30	8	2.99e-05	9.16e-03	-0.184	0.044	3.09e-03	2.77e-02	4.17e-01	1.12e+00
ARHGEF2	13	6.11e-04	5.63e-02	-0.419	0.122	8.71e-39	1.56e-35	7.90e-05	1.61e-02
ARHGEF3	11	7.21e-01	9.34e-01	-0.063	0.176	7.32e-13	1.01e-10	4.50e-05	1.07e-02
ARHGEF40	11	3.77e-03	1.33e-01	-0.493	0.17	2.02e-12	2.62e-10	1.28e-04	2.14e-02
ARL14EP	7	4.18e-07	3.63e-04	-0.208	0.041	8.53e-04	1.03e-02	1.79e-01	9.55e-01
ARMC12	9	2.04e-04	3.19e-02	0.375	0.101	1.23e-06	4.66e-05	1.26e-02	3.36e-01
ASCC3	12	3.10e-06	1.64e-03	-0.162	0.035	2.74e-03	2.53e-02	5.58e-01	1.15e+00
ASPH	12	1.14e-04	2.23e-02	-0.227	0.059	4.18e-10	3.63e-08	9.09e-04	7.92e-02
ATG2A	12	2.54e-08	4.43e-05	0.165	0.03	1.11e-04	2.00e-03	2.54e-01	1.04e+00
ATP6V1G1	13	4.33e-04	4.78e-02	-0.128	0.036	5.72e-04	7.53e-03	2.66e-01	1.05e+00
AURKAPS1	2	2.10e-04	3.21e-02	-0.26	0.07	1.15e-03	1.30e-02	8.93e-02	7.67e-01
AZI2	11	1.47e-03	8.69e-02	0.479	0.151	6.94e-17	1.70e-14	1.00e-06	0.00e+00
BBS12	7	1.24e-10	5.78e-07	0.361	0.056	7.95e-05	1.54e-03	5.23e-02	6.34e-01
BCL2L11	12	3.41e-03	1.27e-01	0.419	0.143	1.37e-11	1.50e-09	2.40e-05	6.57e-03
BCL6	12	3.76e-03	1.33e-01	0.427	0.147	5.33e-19	1.88e-16	1.00e-06	0.00e+00
BHLHE40	13	2.23e-06	1.44e-03	-0.454	0.096	1.98e-13	3.14e-11	6.24e-04	6.43e-02
BIRC3	12	2.24e-02	2.89e-01	0.618	0.271	3.32e-13	4.95e-11	1.00e-06	0.00e+00
BOD1	9	2.98e-04	3.75e-02	-0.112	0.031	3.66e-03	3.15e-02	4.92e-01	1.14e+00
BRI3BP	7	3.02e-06	1.64e-03	-0.153	0.033	7.49e-04	9.27e-03	2.43e-01	1.04e+00
BRIX1	11	3.67e-01	7.91e-01	-0.09	0.1	2.81e-08	1.62e-06	3.33e-04	4.26e-02
BTG1	13	4.46e-04	4.85e-02	0.722	0.206	1.00e+00	1.00e+00	1.00e-06	0.00e+00
BTG2	13	2.81e-01	7.36e-01	0.178	0.165	5.06e-04	6.85e-03	1.15e-04	1.95e-02
C1orf186	2	9.79e-17	7.60e-13	1.172	0.141	2.49e-06	8.69e-05	3.73e-04	4.59e-02
CACNB2	12	4.86e-03	1.50e-01	0.279	0.099	1.14e-23	5.87e-21	2.98e-04	3.90e-02
CALCOCO1	13	2.32e-06	1.46e-03	0.222	0.047	5.68e-07	2.42e-05	8.18e-02	7.42e-01
CALR	12	2.38e-07	2.77e-04	-0.18	0.035	1.59e-04	2.70e-03	2.34e-01	1.03e+00
CAMK1D	11	7.20e-01	9.34e-01	0.055	0.155	6.16e-04	7.98e-03	2.08e-04	3.14e-02
CBX6	12	2.09e-04	3.21e-02	-0.153	0.041	6.62e-05	1.33e-03	1.71e-01	9.49e-01
CCDC109B	3	9.21e-05	1.99e-02	0.255	0.065	9.41e-04	1.11e-02	1.72e-01	9.49e-01
CCND3	12	7.22e-03	1.79e-01	0.375	0.14	4.38e-20	1.73e-17	1.00e-06	0.00e+00
CCNDBP1	9	4.79e-05	1.27e-02	0.239	0.059	1.81e-09	1.40e-07	2.16e-03	1.34e-01
CD300C	9	3.27e-04	3.98e-02	-0.177	0.049	3.16e-04	4.73e-03	1.73e-01	9.49e-01
CD44	13	3.98e-08	6.18e-05	-0.453	0.083	1.23e-12	1.69e-10	5.20e-05	1.16e-02
CD53	11	9.42e-03	1.99e-01	0.325	0.125	3.73e-10	3.25e-08	9.00e-06	3.25e-03
CD99L2	9	5.35e-05	1.35e-02	0.134	0.033	1.14e-04	2.04e-03	2.62e-01	1.05e+00
CEBPD	12	2.42e-04	3.40e-02	0.572	0.156	2.84e-23	1.41e-20	5.20e-05	1.16e-02
CEBPG	13	4.51e-04	4.88e-02	-0.151	0.043	5.50e-05	1.14e-03	3.22e-01	1.08e+00
CELF2	12	1.16e-08	2.25e-05	0.67	0.117	1.81e-24	1.00e-21	1.00e-06	0.00e+00
CFLAR	10	2.50e-04	3.44e-02	0.455	0.124	5.20e-26	3.67e-23	1.00e-06	0.00e+00
CHD1	13	1.15e-04	2.23e-02	-0.173	0.045	5.32e-05	1.11e-03	3.10e-01	1.08e+00
CLHC1	9	4.08e-04	4.67e-02	0.313	0.088	1.96e-05	4.93e-04	7.58e-02	7.23e-01
CPD	12	6.26e-08	9.11e-05	0.486	0.09	5.73e-19	1.99e-16	6.00e-06	2.41e-03
CPM	12	1.96e-04	3.14e-02	0.561	0.151	1.03e-07	5.22e-06	3.10e-02	5.03e-01
CREBRF	9	1.63e-03	9.05e-02	0.354	0.112	1.00e-14	1.99e-12	2.90e-05	7.58e-03
CRISPLD2	11	2.19e-03	1.05e-01	0.813	0.265	1.12e-30	1.19e-27	3.70e-04	4.58e-02
CWC27	9	3.81e-04	4.48e-02	-0.135	0.038	1.05e-04	1.93e-03	8.66e-02	7.57e-01
CXCR4	11	3.23e-04	3.95e-02	0.544	0.151	2.43e-25	1.53e-22	1.00e-06	0.00e+00
DAAM2	12	2.03e-03	1.01e-01	0.492	0.16	9.35e-19	3.07e-16	2.45e-04	3.50e-02
DDIT3	12	7.00e-04	5.93e-02	-0.312	0.092	4.38e-14	8.02e-12	1.37e-04	2.26e-02
DDIT4	13	5.57e-05	1.39e-02	1.207	0.299	6.46e-28	5.18e-25	1.00e-06	0.00e+00
DNAJA1	12	7.73e-09	1.80e-05	-0.315	0.055	3.96e-12	4.78e-10	3.56e-03	1.70e-01
DTWD2	9	8.42e-05	1.86e-02	-0.108	0.027	1.10e-03	1.25e-02	3.54e-01	1.10e+00
DUSP1	12	6.19e-04	5.63e-02	0.98	0.286	1.29e-58	5.02e-55	1.00e-06	0.00e+00
DUSP10	11	9.17e-01	9.85e-01	0.018	0.172	4.61e-05	9.87e-04	1.45e-04	2.38e-02
ELOVL4	11	3.21e-01	7.64e-01	-0.114	0.115	4.00e-04	5.71e-03	1.10e-04	1.93e-02
ENDOD1	13	1.87e-01	6.45e-01	0.237	0.18	7.74e-04	9.51e-03	9.00e-06	3.25e-03
EXD2	12	1.19e-06	8.37e-04	0.155	0.032	9.63e-06	2.69e-04	2.50e-02	4.58e-01
FAAP100	11	4.38e-04	4.78e-02	-0.141	0.04	1.64e-03	1.71e-02	4.39e-01	1.13e+00
FAM210A	9	5.15e-06	2.40e-03	-0.251	0.055	7.99e-06	2.30e-04	4.73e-02	6.14e-01
FCHO1	13	1.13e-04	2.23e-02	-0.126	0.033	4.62e-04	6.40e-03	4.44e-01	1.13e+00
FGD4	9	5.98e-03	1.65e-01	0.531	0.193	2.79e-38	4.65e-35	4.00e-06	1.79e-03
FHL1	12	2.95e-03	1.19e-01	0.27	0.091	5.63e-09	4.00e-07	4.20e-04	4.96e-02
FKBP5	8	1.23e-25	1.43e-21	2.574	0.246	2.57e-59	1.20e-55	1.00e-06	0.00e+00
FMO5	10	2.35e-03	1.07e-01	0.365	0.12	8.40e-09	5.63e-07	1.04e-04	1.88e-02
FNIP2	8	2.42e-06	1.49e-03	0.184	0.039	8.21e-04	1.00e-02	3.34e-01	1.09e+00
FOXO3	12	2.86e-05	8.88e-03	0.444	0.106	2.11e-30	2.05e-27	1.00e-06	0.00e+00
FSCN1	12	4.96e-05	1.30e-02	-0.27	0.067	2.59e-08	1.52e-06	3.07e-03	1.58e-01
FZD7	12	6.96e-01	9.26e-01	-0.056	0.145	1.06e-11	1.18e-09	1.00e-06	5.61e-04
GADD45B	13	3.68e-01	7.91e-01	0.183	0.203	7.57e-08	3.97e-06	1.00e-06	0.00e+00
GALNT6	9	1.33e-04	2.46e-02	-0.284	0.074	7.08e-04	8.90e-03	2.00e-01	9.91e-01
GAS2L1	12	1.88e-01	6.46e-01	0.164	0.125	2.68e-04	4.14e-03	7.60e-05	1.58e-02
GATAD1	12	3.99e-04	4.64e-02	0.125	0.035	3.43e-03	3.01e-02	5.17e-01	1.14e+00
GATSL3	8	1.32e-04	2.46e-02	0.654	0.171	9.52e-01	9.91e-01	4.00e-06	1.79e-03
GBP4	9	4.30e-04	4.78e-02	-0.167	0.047	4.95e-06	1.55e-04	4.54e-02	6.01e-01
GDF15	11	2.62e-04	3.53e-02	-0.324	0.089	2.50e-13	3.86e-11	1.92e-03	1.26e-01
GFPT1	12	2.66e-08	4.43e-05	-0.189	0.034	2.72e-05	6.50e-04	6.88e-02	6.98e-01
GGNBP2	11	2.74e-04	3.63e-02	0.173	0.047	5.10e-08	2.77e-06	3.62e-02	5.44e-01
GLUL	13	3.87e-09	1.08e-05	0.956	0.162	3.73e-45	8.68e-42	1.00e-06	0.00e+00
GNB4	9	6.24e-01	9.01e-01	-0.065	0.133	1.48e-08	9.39e-07	3.38e-04	4.27e-02
GPR68	12	2.90e-03	1.18e-01	-0.284	0.095	6.03e-14	1.07e-11	2.81e-04	3.78e-02
GPSM2	12	1.57e-05	5.57e-03	0.219	0.051	2.87e-04	4.35e-03	3.04e-01	1.07e+00
GRAMD3	11	4.63e-04	4.96e-02	0.862	0.246	1.00e+00	1.00e+00	3.00e-06	1.42e-03
GRAMD4	13	5.05e-01	8.56e-01	0.079	0.118	4.57e-05	9.81e-04	1.80e-05	5.51e-03
GRASP	9	1.09e-02	2.15e-01	0.642	0.252	1.59e-12	2.12e-10	5.00e-05	1.14e-02
HBS1L	10	7.25e-05	1.63e-02	0.16	0.04	9.84e-04	1.15e-02	9.39e-02	7.80e-01
HDAC2	12	8.63e-07	6.43e-04	-0.191	0.039	6.46e-06	1.95e-04	1.46e-01	9.03e-01
HECTD2	9	9.09e-03	1.97e-01	0.256	0.098	2.89e-08	1.66e-06	2.23e-04	3.28e-02
HES1	12	1.87e-03	9.69e-02	-0.547	0.176	1.41e-18	4.38e-16	1.00e-06	0.00e+00
HIPK2	12	1.18e-02	2.20e-01	0.33	0.131	6.83e-13	9.69e-11	9.70e-05	1.81e-02
HK2	13	2.69e-03	1.13e-01	-0.357	0.119	6.82e-09	4.70e-07	3.02e-04	3.93e-02
HMGCS1	12	1.10e-10	5.78e-07	-0.437	0.068	9.88e-14	1.70e-11	5.04e-04	5.64e-02
HSD17B4	13	2.77e-07	2.90e-04	0.175	0.034	1.19e-04	2.11e-03	4.23e-01	1.13e+00
HSPH1	12	1.50e-07	1.94e-04	-0.205	0.039	7.64e-06	2.23e-04	1.45e-01	9.01e-01
IER3	12	1.18e-04	2.25e-02	-0.8	0.208	1.67e-25	1.14e-22	2.40e-05	6.57e-03
IFI30	4	6.19e-05	1.52e-02	-0.382	0.095	1.44e-03	1.56e-02	2.58e-01	1.05e+00
IFI44	13	4.09e-01	8.15e-01	-0.156	0.189	2.10e-12	2.70e-10	1.64e-04	2.60e-02
IFIT1	12	4.22e-04	4.76e-02	-0.59	0.167	7.19e-17	1.74e-14	1.22e-02	3.30e-01
IGF1R	12	1.03e-01	5.25e-01	0.182	0.111	1.36e-09	1.08e-07	5.20e-05	1.16e-02
IRF1	12	3.22e-06	1.67e-03	-0.391	0.084	2.92e-11	3.03e-09	5.94e-03	2.25e-01
IRF2BP2	9	1.27e-03	8.07e-02	-0.477	0.148	1.81e-19	6.68e-17	1.00e-06	5.61e-04
ITSN1	12	1.83e-04	3.05e-02	0.132	0.035	7.49e-06	2.19e-04	1.33e-01	8.75e-01
JADE1	11	5.68e-02	4.20e-01	0.373	0.196	1.55e-31	1.90e-28	3.00e-06	1.42e-03
JPH1	6	4.11e-04	4.69e-02	-0.34	0.096	3.09e-06	1.04e-04	6.13e-03	2.27e-01
JUN	12	7.81e-01	9.53e-01	0.05	0.179	1.63e-04	2.75e-03	3.50e-05	8.67e-03
KATNAL1	9	5.22e-03	1.55e-01	0.51	0.183	3.76e-11	3.84e-09	1.00e-06	0.00e+00
KLF10	12	2.43e-04	3.40e-02	-0.345	0.094	8.07e-09	5.48e-07	4.44e-03	1.88e-01
KLF9	13	7.26e-05	1.63e-02	0.759	0.191	5.71e-41	1.21e-37	1.00e-06	0.00e+00
KLHL6	8	2.79e-04	3.63e-02	0.358	0.098	7.89e-07	3.18e-05	7.80e-03	2.59e-01
KLK8	9	5.52e-06	2.49e-03	-0.102	0.022	2.76e-04	4.23e-03	1.35e-01	8.81e-01
LANCL2	11	4.55e-05	1.25e-02	-0.133	0.033	1.45e-03	1.56e-02	5.48e-01	1.15e+00
LARP4	13	2.51e-01	7.11e-01	0.129	0.113	8.27e-09	5.58e-07	1.70e-05	5.27e-03
LCK	11	2.93e-06	1.62e-03	-0.16	0.034	2.80e-06	9.56e-05	1.22e-01	8.48e-01
LDLRAD4	11	2.05e-05	6.81e-03	0.533	0.125	1.48e-13	2.40e-11	6.00e-06	2.41e-03
LETMD1	13	2.72e-04	3.63e-02	0.178	0.049	1.35e-05	3.59e-04	2.29e-02	4.39e-01
LGALS9	13	4.99e-06	2.37e-03	-0.199	0.044	7.33e-06	2.15e-04	4.16e-01	1.12e+00
LIF	12	2.22e-04	3.28e-02	-0.438	0.119	1.70e-21	7.73e-19	2.55e-03	1.45e-01
LIN37	12	1.85e-04	3.05e-02	0.166	0.044	2.96e-03	2.68e-02	5.40e-01	1.15e+00
LINC00339	10	4.38e-05	1.23e-02	0.196	0.048	2.92e-03	2.65e-02	4.92e-01	1.14e+00
LINC01138	7	2.81e-06	1.62e-03	0.142	0.03	2.79e-04	4.26e-03	9.98e-02	7.99e-01
LINC01597	2	1.42e-04	2.55e-02	-0.269	0.071	3.38e-03	2.96e-02	3.17e-02	5.07e-01
LMBR1	9	2.87e-03	1.17e-01	0.284	0.095	2.51e-09	1.91e-07	3.56e-04	4.45e-02
LOC101927058	4	1.78e-04	3.02e-02	0.152	0.04	5.68e-04	7.49e-03	5.04e-02	6.27e-01
LOC101928076	4	1.94e-04	3.14e-02	-0.174	0.047	3.74e-03	3.21e-02	1.57e-01	9.23e-01
LOC105377371	4	1.65e-06	1.13e-03	0.272	0.057	4.48e-04	6.26e-03	6.49e-02	6.85e-01
LOC643711	4	2.13e-04	3.23e-02	0.176	0.047	1.16e-03	1.30e-02	8.11e-02	7.41e-01
LOC645513	4	4.15e-05	1.18e-02	0.204	0.05	2.20e-04	3.53e-03	4.95e-02	6.22e-01
LYSMD2	9	2.76e-07	2.90e-04	-0.458	0.089	6.98e-21	2.95e-18	1.00e-06	0.00e+00
MAOA	13	5.33e-03	1.56e-01	0.584	0.209	6.44e-51	1.87e-47	1.14e-04	1.95e-02
MARCKS	12	1.35e-03	8.33e-02	-0.403	0.126	5.38e-17	1.38e-14	2.49e-04	3.53e-02
MCL1	12	1.15e-01	5.46e-01	0.162	0.103	3.01e-09	2.26e-07	7.90e-05	1.61e-02
MERTK	12	5.40e-01	8.70e-01	0.101	0.166	2.87e-08	1.66e-06	2.82e-04	3.77e-02
METTL10	11	7.21e-05	1.63e-02	-0.173	0.044	6.86e-07	2.82e-05	6.42e-02	6.82e-01
METTL7A	12	1.43e-04	2.55e-02	0.839	0.221	4.88e-30	4.54e-27	1.00e-06	0.00e+00
MID1IP1	11	2.20e-03	1.05e-01	-0.28	0.091	2.54e-10	2.29e-08	2.00e-05	5.93e-03
MRPL17	11	8.84e-07	6.43e-04	-0.227	0.046	2.25e-07	1.05e-05	3.26e-03	1.63e-01
MT1E	12	5.34e-05	1.35e-02	0.665	0.165	5.16e-20	2.00e-17	1.15e-03	8.90e-02
MT1G	12	7.12e-05	1.63e-02	0.467	0.118	1.15e-08	7.59e-07	8.39e-03	2.69e-01
MT1H	12	2.79e-04	3.63e-02	0.458	0.126	1.14e-05	3.13e-04	7.76e-02	7.30e-01
MT1X	12	5.10e-05	1.32e-02	0.86	0.212	1.76e-19	6.62e-17	3.80e-05	9.26e-03
MT2A	13	2.31e-04	3.36e-02	0.751	0.204	1.69e-47	4.37e-44	6.90e-05	1.47e-02
MTSS1	13	1.06e-03	7.48e-02	0.402	0.123	7.30e-12	8.39e-10	4.60e-05	1.08e-02
