Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
ABCA1	7	4.55e-04	3.43e-02	0.209	0.06	3.39e-03	4.35e-02	1.98e-01	1.01e+00
ABTB1	6	2.31e-04	2.22e-02	0.188	0.051	3.84e-05	1.58e-03	4.23e-02	6.48e-01
ACVR1	7	3.67e-04	3.03e-02	0.189	0.053	1.14e-04	3.66e-03	5.13e-02	6.89e-01
ACYP1	7	2.83e-10	4.24e-07	-0.248	0.039	9.09e-05	3.07e-03	2.23e-01	1.03e+00
AEBP2	6	5.76e-04	3.99e-02	-0.146	0.042	8.69e-04	1.68e-02	1.16e-01	8.93e-01
AIM1	7	1.95e-03	8.79e-02	0.725	0.234	1.76e-12	8.40e-10	1.20e-05	5.62e-03
AKAP13	7	1.29e-02	2.31e-01	0.455	0.183	3.93e-10	1.06e-07	8.00e-06	4.33e-03
ANAPC16	6	1.02e-05	2.28e-03	0.209	0.047	2.18e-06	1.55e-04	5.84e-03	2.59e-01
ANKRD55	7	3.90e-06	1.29e-03	0.167	0.036	1.36e-03	2.32e-02	3.85e-01	1.10e+00
APOO	6	1.31e-07	8.19e-05	-0.247	0.047	6.22e-04	1.31e-02	8.51e-02	8.15e-01
AREG	6	1.10e-02	2.15e-01	0.397	0.156	4.77e-08	6.46e-06	1.69e-04	3.27e-02
AREL1	4	4.33e-09	4.23e-06	0.321	0.055	1.21e-03	2.12e-02	7.27e-02	7.79e-01
ARHGEF3	7	4.33e-01	8.26e-01	0.195	0.248	1.42e-08	2.38e-06	1.54e-04	3.17e-02
ARHGEF6	7	9.34e-01	9.89e-01	-0.011	0.134	2.71e-03	3.74e-02	1.77e-04	3.31e-02
ARID1A	7	1.51e-05	3.01e-03	0.156	0.036	4.90e-04	1.11e-02	1.51e-01	9.55e-01
ARMC8	7	1.71e-04	1.82e-02	0.232	0.062	3.26e-05	1.40e-03	3.01e-02	5.54e-01
ASCC1	6	1.94e-05	3.69e-03	0.434	0.102	1.57e-08	2.57e-06	4.64e-04	6.21e-02
ASTE1	7	3.13e-05	5.40e-03	0.155	0.037	1.70e-03	2.74e-02	2.27e-01	1.04e+00
ATG2A	7	1.32e-05	2.81e-03	0.163	0.037	5.31e-04	1.18e-02	1.12e-01	8.82e-01
ATP11C	6	3.94e-04	3.15e-02	-0.167	0.047	2.32e-04	6.35e-03	8.28e-02	8.08e-01
AZI2	7	6.42e-03	1.64e-01	0.634	0.233	1.93e-15	2.16e-12	1.00e-06	0.00e+00
BATF2	6	4.85e-04	3.61e-02	-0.088	0.025	2.39e-03	3.43e-02	2.45e-01	1.05e+00
BBS12	5	1.30e-10	2.08e-07	0.39	0.061	7.54e-05	2.69e-03	1.80e-02	4.50e-01
BCL11B	7	5.37e-03	1.51e-01	-0.328	0.118	2.38e-08	3.60e-06	1.13e-04	2.56e-02
BCL2L11	7	2.03e-03	8.95e-02	0.773	0.251	7.96e-13	4.36e-10	2.00e-06	1.47e-03
BCL6	7	1.67e-01	6.21e-01	0.274	0.198	6.78e-07	5.96e-05	2.30e-05	8.34e-03
BCOR	7	1.35e-04	1.58e-02	-0.183	0.048	6.54e-06	3.83e-04	1.44e-02	4.07e-01
BHLHE40	7	2.11e-04	2.11e-02	-0.405	0.109	2.57e-07	2.67e-05	3.07e-03	1.85e-01
BIRC3	7	1.25e-01	5.64e-01	0.753	0.491	2.89e-10	8.63e-08	2.00e-06	1.47e-03
BRI3BP	4	1.42e-05	2.92e-03	-0.153	0.035	3.18e-04	8.06e-03	5.96e-02	7.26e-01
BTG1	7	2.29e-03	9.60e-02	1.027	0.337	1.19e-16	1.48e-13	1.00e-06	0.00e+00
BTG2	7	6.83e-01	9.20e-01	0.091	0.223	2.46e-04	6.66e-03	1.72e-04	3.30e-02
C12orf76	6	5.16e-04	3.71e-02	0.193	0.056	1.82e-03	2.88e-02	1.69e-01	9.80e-01
C15orf39	6	1.02e-02	2.09e-01	-0.329	0.128	1.08e-07	1.24e-05	9.90e-05	2.37e-02
C16orf87	6	8.31e-06	2.03e-03	-0.303	0.068	3.11e-06	2.09e-04	8.14e-03	3.09e-01
C18orf54	6	1.86e-06	7.45e-04	0.241	0.051	1.09e-03	1.98e-02	1.76e-01	9.91e-01
