Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
ABHD10	3	2.41e-04	3.80e-02	-0.357	0.097	9.73e-05	2.64e-03	1.95e-01	9.87e-01
ADRA2A	3	4.28e-08	6.37e-05	-0.951	0.174	1.85e-03	2.62e-02	2.42e-01	1.02e+00
ALDH18A1	3	6.42e-07	5.54e-04	-0.423	0.085	1.15e-03	1.81e-02	9.11e-02	9.45e-01
ALG14	2	7.04e-05	1.60e-02	-0.26	0.066	4.20e-04	8.44e-03	1.73e-02	7.76e-01
APOL6	3	8.78e-05	1.92e-02	-0.381	0.097	1.88e-04	4.50e-03	1.42e-02	7.57e-01
ARHGEF12	3	3.95e-05	1.12e-02	0.193	0.047	2.32e-05	7.91e-04	2.09e-02	7.79e-01
ARMCX2	3	1.14e-04	2.35e-02	-0.296	0.077	1.32e-03	2.00e-02	1.77e-01	9.78e-01
ARMCX3	3	1.59e-06	1.05e-03	-0.299	0.062	2.64e-04	5.91e-03	1.29e-01	9.76e-01
ASPH	3	1.76e-08	3.60e-05	-0.325	0.058	1.12e-07	7.77e-06	2.23e-04	1.40e-01
ASTE1	3	4.74e-05	1.21e-02	-0.415	0.102	9.04e-06	3.65e-04	1.16e-02	6.99e-01
BAG3	3	2.16e-04	3.51e-02	0.292	0.079	4.88e-04	9.43e-03	2.49e-01	1.02e+00
BTN3A3	3	3.52e-12	2.84e-08	-0.656	0.094	1.70e-11	2.68e-09	2.32e-03	4.75e-01
C6orf89	2	1.85e-04	3.22e-02	-0.174	0.047	1.18e-03	1.85e-02	6.46e-02	9.07e-01
CA7	2	2.06e-05	6.75e-03	-0.169	0.04	1.25e-03	1.92e-02	2.26e-02	8.02e-01
CASP1	4	5.43e-06	2.42e-03	-0.669	0.147	7.40e-07	4.03e-05	1.02e-02	6.58e-01
CAV1	3	9.52e-05	2.03e-02	0.531	0.136	3.41e-06	1.57e-04	1.48e-02	7.55e-01
CCDC149	2	8.41e-05	1.86e-02	-0.239	0.061	2.44e-04	5.54e-03	1.79e-02	7.78e-01
CD1C	3	3.93e-01	8.28e-01	0.44	0.515	1.14e-04	3.00e-03	2.50e-05	4.55e-02
CD274	2	1.56e-04	2.84e-02	-0.577	0.153	7.09e-04	1.26e-02	1.05e-01	9.48e-01
CELF2	3	4.67e-11	1.91e-07	0.76	0.115	1.15e-10	1.49e-08	1.94e-04	1.38e-01
CH25H	3	9.56e-07	7.83e-04	-0.68	0.139	3.63e-04	7.49e-03	4.26e-02	8.49e-01
CNKSR3	2	1.80e-04	3.18e-02	-0.557	0.149	8.34e-04	1.42e-02	1.04e-01	9.47e-01
COG6	2	4.82e-06	2.29e-03	-0.502	0.11	8.29e-05	2.31e-03	1.37e-01	9.81e-01
COL5A2	3	5.47e-06	2.42e-03	0.364	0.08	1.47e-04	3.72e-03	1.74e-01	9.78e-01
CREBRF	2	3.23e-04	4.67e-02	0.355	0.099	3.12e-04	6.72e-03	1.72e-02	7.76e-01
DDIT4	4	8.17e-05	1.83e-02	0.449	0.114	1.74e-04	4.22e-03	3.81e-02	8.53e-01
ERLIN2	3	2.31e-04	3.67e-02	-0.304	0.082	1.11e-04	2.93e-03	2.31e-01	1.01e+00
EXD2	4	3.57e-04	4.91e-02	0.223	0.063	1.14e-03	1.81e-02	1.08e-01	9.52e-01
EZH1	3	1.90e-04	3.28e-02	0.235	0.063	1.23e-03	1.90e-02	1.11e-01	9.63e-01
FAIM	3	2.74e-04	4.19e-02	0.35	0.096	3.21e-04	6.86e-03	1.72e-02	7.75e-01
FAM65B	3	1.16e-04	2.35e-02	-0.371	0.096	3.64e-03	4.39e-02	1.38e-01	9.80e-01
FAXDC2	3	2.27e-05	7.29e-03	0.361	0.085	3.53e-04	7.36e-03	1.94e-02	7.83e-01
FBXO42	3	8.35e-08	1.05e-04	0.307	0.057	5.56e-06	2.36e-04	2.52e-03	4.92e-01
FKBP5	3	1.15e-05	4.47e-03	2.35	0.536	1.31e-46	3.59e-43	2.00e-06	9.36e-03
FOSL2	4	3.53e-04	4.91e-02	0.408	0.114	3.34e-07	2.05e-05	3.33e-04	1.65e-01
GALNT12	3	1.73e-06	1.07e-03	-0.675	0.141	3.49e-04	7.31e-03	9.60e-02	9.48e-01
GLUL	4	3.98e-02	4.48e-01	1.726	0.839	7.70e-35	1.05e-31	1.00e-06	0.00e+00
GPCPD1	2	9.02e-05	1.94e-02	-0.5	0.128	4.07e-04	8.24e-03	1.31e-01	9.78e-01
