Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
ABCA10	7	2.41e-05	4.92e-02	0.119	0.028	4.74e-05	3.67e-03	5.10e-02	6.46e-01
AMER1	14	1.26e-06	7.10e-03	-0.092	0.019	1.09e-05	1.62e-03	1.78e-01	8.78e-01
CPA5	13	7.08e-06	2.38e-02	0.077	0.017	8.82e-04	1.81e-02	6.41e-01	1.08e+00
FCHSD1	14	2.02e-07	2.61e-03	0.082	0.016	2.80e-06	7.24e-04	2.24e-01	9.20e-01
FUT8-AS1	8	1.72e-05	4.29e-02	0.148	0.034	1.19e-05	1.67e-03	9.97e-02	7.63e-01
LOC100134868	6	1.89e-06	8.48e-03	0.185	0.039	3.98e-07	2.74e-04	2.47e-03	2.69e-01
MTBP	14	1.10e-06	7.10e-03	-0.103	0.021	4.70e-05	3.66e-03	2.17e-01	9.18e-01
NSFL1C	17	1.99e-01	8.52e-01	0.062	0.049	8.12e-06	1.39e-03	2.00e-06	4.50e-02
OR8H3	6	1.13e-05	3.16e-02	0.127	0.029	1.26e-04	5.92e-03	5.37e-02	6.55e-01
SPICE1	11	2.32e-07	2.61e-03	-0.11	0.021	1.68e-05	2.02e-03	2.64e-01	9.43e-01
TMEM213	8	2.06e-05	4.64e-02	-0.095	0.022	2.58e-04	9.09e-03	1.02e-01	7.65e-01
ZNF608	14	7.41e-06	2.38e-02	-0.092	0.02	1.71e-04	7.04e-03	3.26e-01	9.83e-01
