Gene	N	es_method.pval	es_method.qval	es_method.eff.size	es_method.std.err	p_method.pval	p_method.qval	rank_method.pval	rank_method.qval
ACP1	6	6.82e-05	4.96e-02	0.122	0.031	7.42e-05	1.03e-02	1.44e-02	3.61e-01
ADK	6	4.69e-07	2.45e-03	0.245	0.049	1.93e-06	2.24e-03	3.41e-03	3.25e-01
AJAP1	5	2.30e-05	3.10e-02	-0.133	0.031	9.54e-07	1.70e-03	5.71e-04	2.77e-01
ARHGAP21	5	7.21e-05	4.96e-02	0.142	0.036	2.36e-04	1.65e-02	3.01e-02	3.83e-01
BUB3	6	7.47e-05	4.96e-02	0.131	0.033	3.51e-04	2.02e-02	2.56e-02	3.79e-01
CALD1	6	3.85e-06	1.34e-02	0.174	0.038	1.29e-04	1.31e-02	1.52e-02	3.63e-01
CAMK1D	6	3.23e-07	2.45e-03	0.235	0.046	4.61e-04	2.26e-02	7.82e-02	4.15e-01
CEP19	5	3.37e-05	3.47e-02	0.206	0.05	2.05e-04	1.57e-02	2.52e-02	3.78e-01
COX2	3	5.32e-06	1.39e-02	0.083	0.018	1.31e-06	1.87e-03	4.69e-04	2.58e-01
FOXA2	5	2.38e-05	3.10e-02	-0.225	0.053	1.02e-04	1.20e-02	3.25e-02	3.85e-01
GRAMD2	4	4.64e-05	4.21e-02	-0.252	0.062	5.74e-05	9.36e-03	2.33e-02	3.77e-01
HIST2H2BE	6	2.82e-05	3.30e-02	0.235	0.056	4.85e-04	2.30e-02	9.74e-02	4.27e-01
IQSEC3	6	2.85e-05	3.30e-02	-0.135	0.032	5.27e-05	8.98e-03	2.67e-02	3.80e-01
ITPR3	6	1.95e-05	3.10e-02	0.179	0.042	6.70e-05	9.88e-03	1.89e-02	3.71e-01
LINC00619	3	2.28e-05	3.10e-02	-0.208	0.049	1.05e-03	3.35e-02	5.27e-02	4.04e-01
LOC101928817	3	9.73e-06	2.14e-02	0.251	0.057	6.51e-06	4.30e-03	4.07e-03	3.22e-01
MAX	6	7.62e-05	4.96e-02	0.128	0.032	2.61e-04	1.73e-02	7.14e-02	4.11e-01
MOG	5	7.27e-05	4.96e-02	-0.105	0.027	5.68e-04	2.42e-02	5.18e-02	4.04e-01
MTHFD2L	6	5.18e-06	1.39e-02	0.163	0.036	2.13e-04	1.58e-02	4.92e-02	4.04e-01
ND4	3	1.86e-05	3.10e-02	0.088	0.021	7.62e-05	1.04e-02	1.85e-02	3.66e-01
NRXN1	5	4.27e-07	2.45e-03	-0.166	0.033	3.14e-06	3.12e-03	9.04e-04	3.04e-01
PDE5A	6	3.54e-05	3.47e-02	0.114	0.027	4.63e-04	2.26e-02	1.72e-02	3.69e-01
PUM3	6	5.38e-05	4.67e-02	0.107	0.027	1.26e-04	1.30e-02	4.15e-02	3.94e-01
SKA2	5	2.70e-07	2.45e-03	0.211	0.041	4.22e-06	3.39e-03	1.70e-02	3.68e-01
SLC25A37	6	1.38e-05	2.63e-02	-0.217	0.05	3.90e-05	7.54e-03	1.21e-02	3.54e-01
SPICE1	5	8.23e-05	4.96e-02	-0.114	0.029	1.30e-03	3.70e-02	1.27e-01	4.40e-01
ST7-OT4	4	6.02e-05	4.83e-02	-0.132	0.033	3.31e-04	1.95e-02	2.58e-02	3.78e-01
TLL1	6	6.46e-05	4.96e-02	-0.107	0.027	1.22e-05	5.38e-03	1.32e-02	3.58e-01
UBE2D3	6	2.41e-06	1.01e-02	0.141	0.03	7.11e-07	1.48e-03	9.48e-04	2.95e-01
YPEL2	5	3.65e-05	3.47e-02	0.146	0.035	2.21e-04	1.58e-02	4.77e-02	4.02e-01
YWHAZ	6	1.02e-05	2.14e-02	0.124	0.028	1.37e-06	1.87e-03	1.47e-03	3.12e-01
ZBTB37	5	8.32e-05	4.96e-02	-0.154	0.039	5.89e-04	2.45e-02	4.67e-02	3.99e-01
